matrix_type,component_category,component_maker,component_name,component_mm,component_extra,case_model,case_maker,case_form_factor,case_limit_mm,margin_mm,verdict
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.1),267,TDP:750W conn:16pin*1,NZXT H510,nzxt,ATX,381,114,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.1),267,TDP:750W conn:16pin*1,NZXT H200i,nzxt,Mini-ITX,328,61,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.1),267,TDP:750W conn:16pin*1,NZXT H9 Flow,nzxt,ATX,385,118,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.1),267,TDP:750W conn:16pin*1,NZXT H3 Flow,nzxt,ATX,380,113,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.1),267,TDP:750W conn:16pin*1,NZXT H2 Flow,nzxt,Mini-ITX,340,73,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.0),267,TDP:750W conn:16pin*1,NZXT H510,nzxt,ATX,381,114,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.0),267,TDP:750W conn:16pin*1,NZXT H200i,nzxt,Mini-ITX,328,61,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.0),267,TDP:750W conn:16pin*1,NZXT H9 Flow,nzxt,ATX,385,118,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.0),267,TDP:750W conn:16pin*1,NZXT H3 Flow,nzxt,ATX,380,113,OK
GPU×ケース,gpu,gigabyte,Radeon™ AI PRO R9700 AI TOP 32G  (Rev. 1.0),267,TDP:750W conn:16pin*1,NZXT H2 Flow,nzxt,Mini-ITX,340,73,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5090 32G LIGHTNING Z,260,TDP:800W conn:16pinx2,NZXT H510,nzxt,ATX,381,121,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5090 32G LIGHTNING Z,260,TDP:800W conn:16pinx2,NZXT H200i,nzxt,Mini-ITX,328,68,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5090 32G LIGHTNING Z,260,TDP:800W conn:16pinx2,NZXT H9 Flow,nzxt,ATX,385,125,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5090 32G LIGHTNING Z,260,TDP:800W conn:16pinx2,NZXT H3 Flow,nzxt,ATX,380,120,OK
GPU×ケース,gpu,msi,GeForce RTX™ 5090 32G LIGHTNING Z,260,TDP:800W conn:16pinx2,NZXT H2 Flow,nzxt,Mini-ITX,340,80,OK
